Date,Open,High,Low,Close,Adj Close,Volume
05/11/24,7377.58,7414.82,7350.00,7407.15,2633497
04/11/24,7386.32,7445.96,7371.71,7371.71,2529511
01/11/24,7364.08,7434.26,7358.20,7409.11,2856918
31/10/24,7384.10,7393.25,7315.97,7350.37,5237173
30/10/24,7452.10,7470.69,7377.39,7428.36,3527476
29/10/24,7593.86,7618.32,7506.52,7511.11,3025797
28/10/24,7542.13,7580.68,7494.93,7556.94,2859786
25/10/24,7489.87,7518.75,7459.41,7497.54,2683084
24/10/24,7527.64,7565.39,7503.02,7503.28,3194671
23/10/24,7493.25,7544.70,7468.58,7497.48,2690343
22/10/24,7517.03,7545.36,7472.16,7535.10,2670072
21/10/24,7579.08,7620.46,7529.68,7536.23,2530561
18/10/24,7566.87,7644.05,7566.87,7613.05,3430621
17/10/24,7510.13,7624.22,7507.95,7583.73,3326713
16/10/24,7420.85,7511.10,7420.85,7492.00,3912839
15/10/24,7595.06,7601.53,7511.24,7521.97,4318041
14/10/24,7583.48,7613.15,7544.54,7602.06,2475262
11/10/24,7530.88,7587.52,7504.04,7577.89,2583798
10/10/24,7543.40,7563.36,7515.90,7541.59,2539929
09/10/24,7527.03,7567.58,7504.63,7560.09,2599567
08/10/24,7480.36,7542.05,7475.78,7521.32,3082067
07/10/24,7571.97,7585.33,7509.87,7576.02,3050900
04/10/24,7464.87,7571.76,7460.29,7541.36,3578624
03/10/24,7555.23,7555.24,7458.49,7477.78,3259786
02/10/24,7594.81,7623.32,7548.98,7577.59,3228736
01/10/24,7623.33,7654.58,7547.12,7574.07,3685438
30/09/24,7748.07,7763.89,7634.82,7635.75,4890373
27/09/24,7762.45,7804.64,7743.88,7791.79,4609862
26/09/24,7663.03,7742.09,7652.61,7742.09,4915410
25/09/24,7549.26,7595.77,7546.86,7565.62,3049862
24/09/24,7608.47,7634.23,7575.36,7604.01,3308462
23/09/24,7499.92,7518.77,7456.44,7508.08,3110832
20/09/24,7597.52,7603.20,7500.26,7500.26,7084746
19/09/24,7557.04,7615.41,7520.08,7615.41,3697247
18/09/24,7489.85,7495.31,7444.18,7444.90,2652814
17/09/24,7485.14,7523.87,7473.90,7487.42,3154737
16/09/24,7432.17,7480.60,7430.06,7449.44,2213429
13/09/24,7441.56,7490.84,7438.65,7465.25,2864414
12/09/24,7478.91,7484.16,7391.54,7435.07,3101549
11/09/24,7419.04,7452.68,7363.31,7396.83,3093437
10/09/24,7414.40,7476.54,7386.53,7407.55,2884244
09/09/24,7376.72,7445.05,7369.90,7425.26,2580951
06/09/24,7424.09,7466.14,7341.93,7352.30,3490697
05/09/24,7464.28,7498.08,7431.96,7431.96,3420246
04/09/24,7490.10,7530.83,7482.40,7500.97,3106005
03/09/24,7659.81,7671.53,7564.99,7575.10,2541131
02/09/24,7628.86,7649.10,7572.77,7646.42,1743478
30/08/24,7645.53,7693.82,7630.95,7630.95,3955076
29/08/24,7577.17,7644.68,7576.36,7640.95,2178450
28/08/24,7587.47,7611.92,7577.67,7577.67,2059325
27/08/24,7601.27,7625.08,7565.78,7565.78,1926471
26/08/24,7578.02,7608.32,7577.63,7590.37,1308620
23/08/24,7544.73,7583.50,7534.30,7577.04,2108534
22/08/24,7527.96,7568.63,7523.53,7524.11,1736791
21/08/24,7486.91,7530.48,7486.91,7524.72,1907151
20/08/24,7518.70,7531.70,7481.67,7485.73,1975761
19/08/24,7445.31,7519.86,7444.72,7502.01,2193092
16/08/24,7442.30,7460.33,7421.48,7449.70,2563030
15/08/24,7356.07,7437.34,7318.14,7423.37,2355721
14/08/24,7330.16,7333.36,7295.89,7333.36,2234580
13/08/24,7277.70,7282.85,7222.08,7275.87,2087738
12/08/24,7296.84,7307.45,7234.20,7250.67,1987190
09/08/24,7259.70,7319.51,7233.69,7269.71,2170944
08/08/24,7223.01,7262.08,7168.99,7247.45,2423748
07/08/24,7161.94,7287.85,7145.88,7266.01,3680652
